county_number,county,order_year,order_month,order_amount,order_revenue,number_of_orders
1,adair,2012,1,2165.94,24967.11,319
1,adair,2012,2,2569.06,28078.87,327
1,adair,2012,3,2197.89,25380.59,307
1,adair,2012,4,2915.09,36608.04,406
1,adair,2012,5,3055.53,35782.93,414
1,adair,2012,6,2955.01,37612.31,448
1,adair,2012,7,2933.99,35414.51,404
1,adair,2012,8,2693.96,34609.28,378
1,adair,2012,9,2516.78,31658.16,340
1,adair,2012,10,3159.3,41801.25,389
1,adair,2012,11,2487.13,34942.1,344
1,adair,2012,12,3647.34,46836.33,453
1,adair,2013,1,2235.87,27586.17,279
1,adair,2013,2,2110.16,24866.77,256
1,adair,2013,3,2417.84,29958.76,299
1,adair,2013,4,2810.63,34524.42,398
1,adair,2013,5,2358.47,27907.69,307
1,adair,2013,6,2599.84,32497.01,352
1,adair,2013,7,2904.5,33869.84,416
1,adair,2013,8,2629.61,31961.66,329
1,adair,2013,9,2620.24,31822.59,336
1,adair,2013,10,2451.46,28309.94,331
1,adair,2013,11,2596.26,32602.79,320
1,adair,2013,12,3425.09,42676.62,473
1,adair,2014,1,2401.9,29286.2,339
1,adair,2014,2,2048,23345.04,210
1,adair,2014,3,3249.38,39473.96,427
1,adair,2014,4,2571.49,30104.79,305
1,adair,2014,5,2511.17,31820.94,330
1,adair,2014,6,3588.21,43486.55,475
1,adair,2014,7,2510.45,31766.78,331
1,adair,2014,8,3082.04,38133.92,418
1,adair,2014,9,2679.12,34424.83,384
1,adair,2014,10,2315.74,29601.25,302
1,adair,2014,11,2810.07,33290.52,340
1,adair,2014,12,3605.53,48271.73,490
1,adair,2015,1,2550.26,32221.04,330
1,adair,2015,2,2637.52,32409.62,312
1,adair,2015,3,3110.19,38925.65,385
1,adair,2015,4,2210.47,27978.72,296
1,adair,2015,5,2494.13,30561.95,318
1,adair,2015,6,3337.15,43091.23,418
1,adair,2015,7,2825.09,35683.14,347
1,adair,2015,8,2771.04,33304.1,375
1,adair,2015,9,2577.89,31098.34,386
1,adair,2015,10,2895.95,34305.51,374
1,adair,2015,11,3355.04,42252,441
1,adair,2015,12,3193.12,42919.52,454
1,adair,2016,1,2304.97,28266.55,318
1,adair,2016,2,3300.25,40811.12,435
1,adair,2016,3,2670.72,36351.64,384
1,adair,2016,4,2456.23,30089.3,358
1,adair,2016,5,3734.96,46277.58,510
1,adair,2016,6,2840.75,37858.72,398
1,adair,2016,7,2391.22,29286.15,373
1,adair,2016,8,2697.74,35001.37,401
1,adair,2016,9,2531.75,33041.34,389
1,adair,2016,10,3243.82,41448.62,456
1,adair,2016,11,3110.79,41976.11,449
1,adair,2016,12,3489.96,44108.25,463
1,adair,2017,1,2314.52,31244.9,351
1,adair,2017,2,2743.16,33261.11,351
1,adair,2017,3,2765.48,34963.5,372
1,adair,2017,4,2575.11,31647.23,353
1,adair,2017,5,3163.17,41225.8,447
1,adair,2017,6,3225.59,41180.29,455
1,adair,2017,7,2727.69,35042.01,405
1,adair,2017,8,3256.12,42307.28,421
1,adair,2017,9,2636.68,34665.73,384
1,adair,2017,10,2895.96,38952.96,465
1,adair,2017,11,2973.75,39524.48,411
1,adair,2017,12,4312.66,57543.55,532
1,adair,2018,1,2752.57,36866.9,394
1,adair,2018,2,2240.03,28518.49,306
1,adair,2018,3,3230.13,42776.17,410
1,adair,2018,4,2617.36,33928.64,373
1,adair,2018,5,2886.26,37175.19,366
1,adair,2018,6,3788.36,51183.17,552
1,adair,2018,7,2709.74,37000.99,385
1,adair,2018,8,3551.69,47004.42,519
1,adair,2018,9,2155.53,27913.86,332
1,adair,2018,10,3447.34,46357.56,493
1,adair,2018,11,3226.51,44941.25,460
1,adair,2018,12,3494.65,47655.95,521
1,adair,2019,1,2572.53,35350.44,384
1,adair,2019,2,2615.31,34984.05,400
1,adair,2019,3,3190.61,44785.07,455
1,adair,2019,4,2930.65,40080.27,454
1,adair,2019,5,3683.16,47740.67,554
1,adair,2019,6,3451.36,51275.99,497
1,adair,2019,7,1112.32,15634.99,183
1,adair,2019,8,2182.66,32858.23,352
1,adair,2019,9,1509,22433.15,267
1,adair,2019,10,1949.7,29285.46,315
