county,mask_restriction,school_mandate_pass,school_mandate_partial_opt_out,gathering_size_restriction,other_restriction,implementation_date,phase_number
  ALLEN,0,0,0,0,0,2020-06-16,1
  ANDERSON,0,0,0,0,0,2020-06-16,1
  ATCHISON,0,0,0,1,1,2020-06-16,1
  BARBER,0,0,0,1,1,2020-06-16,1
  BARTON,0,0,0,0,0,2020-06-16,1
  BOURBON,0,0,0,0,0,2020-06-16,1
  BROWN,0,0,0,0,0,2020-06-16,1
  BUTLER,0,0,0,0,0,2020-06-16,1
  CHASE,0,0,0,0,0,2020-06-16,1
  CHAUTAUQUA,0,0,0,0,0,2020-06-16,1
  CHEROKEE,0,0,0,0,0,2020-06-16,1
  CHEYENNE,0,0,0,0,0,2020-06-16,1
  CLARK,0,0,0,0,0,2020-06-16,1
  CLAY,0,0,0,1,1,2020-06-16,1
  CLOUD,0,0,0,1,1,2020-06-16,1
  COFFEY,0,0,0,0,0,2020-06-16,1
  COMANCHE,0,0,0,0,0,2020-06-16,1
  COWLEY,0,0,0,1,1,2020-06-16,1
  CRAWFORD,0,0,0,0,0,2020-06-16,1
  DECATUR,0,0,0,0,0,2020-06-16,1
  DICKINSON,0,0,0,1,1,2020-06-16,1
  DONIPHAN,0,0,0,0,0,2020-06-16,1
  DOUGLAS,0,0,0,1,0,2020-06-16,1
  EDWARDS,0,0,0,0,0,2020-06-16,1
  ELK,0,0,0,1,0,2020-06-16,1
  ELLIS,0,0,0,0,0,2020-06-16,1
  ELLSWORTH,0,0,0,0,0,2020-06-16,1
  FINNEY,0,0,0,0,0,2020-06-16,1
  FORD,0,0,0,0,0,2020-06-16,1
  FRANKLIN,0,0,0,1,0,2020-06-16,1
  GEARY,0,0,0,1,1,2020-06-16,1
  GOVE,0,0,0,0,0,2020-06-16,1
  GRAHAM,0,0,0,1,1,2020-06-16,1
  GRANT,0,0,0,0,0,2020-06-16,1
  GRAY,0,0,0,0,0,2020-06-16,1
  GREELEY,0,0,0,0,0,2020-06-16,1
  GREENWOOD,0,0,0,0,0,2020-06-16,1
  HAMILTON,0,0,0,1,0,2020-06-16,1
  HARPER,0,0,0,0,0,2020-06-16,1
  HARVEY,0,0,0,1,1,2020-06-16,1
  HASKELL,0,0,0,0,0,2020-06-16,1
  HODGEMAN,0,0,0,0,0,2020-06-16,1
  JACKSON,0,0,0,0,0,2020-06-16,1
  JEFFERSON,0,0,0,0,0,2020-06-16,1
  JEWELL,0,0,0,0,0,2020-06-16,1
  JOHNSON,0,0,0,0,0,2020-06-16,1
