Code,Title,Season,Episode,Rating,Episode Number,Number of Episodes,Prop Through Series,main_character_left
tt0040053,Toast of the Town,5.0,38.0,6.4,2.0,91,0.02197802197802198,0
tt0040053,Toast of the Town,7.0,6.0,7.6,4.0,91,0.04395604395604396,0
tt0040053,Toast of the Town,8.0,35.0,1.2,6.0,91,0.06593406593406594,0
tt0040053,Toast of the Town,9.0,21.0,4.2,8.0,91,0.08791208791208792,0
tt0040053,Toast of the Town,9.0,41.0,6.6,9.0,91,0.0989010989010989,0
tt0040053,Toast of the Town,10.0,6.0,8.2,11.0,91,0.12087912087912088,0
tt0040053,Toast of the Town,10.0,40.0,8.8,13.0,91,0.14285714285714285,0
tt0040053,Toast of the Town,13.0,36.0,4.3,15.0,91,0.16483516483516483,0
tt0040053,Toast of the Town,14.0,23.0,8.3,16.0,91,0.17582417582417584,0
tt0040053,Toast of the Town,16.0,4.0,5.5,18.0,91,0.1978021978021978,0
tt0040053,Toast of the Town,16.0,25.0,7.0,20.0,91,0.21978021978021978,0
tt0040053,Toast of the Town,17.0,6.0,7.9,22.0,91,0.24175824175824176,0
tt0040053,Toast of the Town,17.0,8.0,7.0,23.0,91,0.25274725274725274,0
tt0040053,Toast of the Town,17.0,14.0,5.5,25.0,91,0.27472527472527475,0
tt0040053,Toast of the Town,17.0,19.0,8.7,27.0,91,0.2967032967032967,0
tt0040053,Toast of the Town,17.0,21.0,8.0,29.0,91,0.31868131868131866,0
tt0040053,Toast of the Town,17.0,26.0,6.6,31.0,91,0.34065934065934067,0
tt0040053,Toast of the Town,17.0,27.0,5.8,32.0,91,0.3516483516483517,0
tt0040053,Toast of the Town,17.0,33.0,7.6,34.0,91,0.37362637362637363,0
tt0040053,Toast of the Town,17.0,37.0,6.2,36.0,91,0.3956043956043956,0
tt0040053,Toast of the Town,18.0,1.0,7.2,38.0,91,0.4175824175824176,0
tt0040053,Toast of the Town,18.0,2.0,6.5,39.0,91,0.42857142857142855,0
tt0040053,Toast of the Town,18.0,6.0,6.0,41.0,91,0.45054945054945056,0
tt0040053,Toast of the Town,18.0,9.0,5.7,43.0,91,0.4725274725274725,0
tt0040053,Toast of the Town,18.0,16.0,6.7,45.0,91,0.4945054945054945,0
tt0040053,Toast of the Town,18.0,18.0,6.0,46.0,91,0.5054945054945055,0
tt0040053,Toast of the Town,18.0,24.0,6.0,48.0,91,0.5274725274725275,0
tt0040053,Toast of the Town,18.0,29.0,4.7,50.0,91,0.5494505494505495,0
tt0040053,Toast of the Town,18.0,31.0,5.6,52.0,91,0.5714285714285714,0
tt0040053,Toast of the Town,18.0,33.0,6.3,53.0,91,0.5824175824175825,0
tt0040053,Toast of the Town,19.0,4.0,7.8,55.0,91,0.6043956043956044,0
tt0040053,Toast of the Town,19.0,10.0,4.5,57.0,91,0.6263736263736264,0
tt0040053,Toast of the Town,19.0,21.0,3.6,59.0,91,0.6483516483516484,0
tt0040053,Toast of the Town,20.0,1.0,6.0,61.0,91,0.6703296703296703,0
tt0040053,Toast of the Town,20.0,4.0,5.7,62.0,91,0.6813186813186813,0
tt0040053,Toast of the Town,20.0,19.0,5.0,64.0,91,0.7032967032967034,0
tt0040053,Toast of the Town,20.0,22.0,4.9,66.0,91,0.7252747252747253,0
tt0040053,Toast of the Town,20.0,28.0,7.4,68.0,91,0.7472527472527473,0
